episode #	moves #	reward score	rewards collected
0	1	-101.0	1
1	1	-101.0	0
2	0	0	0
3	4	-94.0	1
4	0	0	0
5	3	-93.0	1
6	0	0	0
7	0	0	0
8	4	-93.0	1
9	1	-101.0	0
10	0	0	0
11	3	-93.0	1
12	0	0	0
13	5	-95.0	1
14	0	0	0
15	0	0	0
16	0	0	0
17	3	-93.0	1
18	0	0	0
19	3	-93.0	1
20	0	0	0
21	0	0	0
22	5	-95.0	1
23	0	0	0
24	3	-93.0	1
25	0	0	0
26	0	0	0
27	0	0	0
28	3	-92.0	1
29	0	0	0
30	4	-94.0	1
31	0	0	0
32	5	-94.0	1
33	4	-94.0	1
34	0	0	0
35	4	-94.0	1
36	0	0	0
37	0	0	0
38	0	0	0
39	4	-94.0	1
40	0	0	0
41	3	-93.0	1
42	0	0	0
43	5	-95.0	1
44	4	-94.0	1
45	0	0	0
46	4	-94.0	1
47	0	0	0
48	0	0	0
49	3	-93.0	1
50	0	0	0
51	4	-94.0	1
52	0	0	0
53	4	-93.0	1
54	4	-93.0	1
55	0	0	0
56	4	-94.0	1
57	0	0	0
58	0	0	0
59	0	0	0
60	4	-93.0	1
61	4	-94.0	1
62	0	0	0
63	0	0	0
64	0	0	0
65	4	-94.0	1
66	0	0	0
67	0	0	0
68	4	-94.0	1
69	0	0	0
70	0	0	0
71	4	-94.0	1
72	3	-93.0	1
73	0	0	0
74	4	-93.0	1
75	4	-94.0	1
76	0	0	0
77	6	-96.0	1
78	0	0	0
79	4	-94.0	1
80	0	0	0
81	0	0	0
82	0	0	0
83	5	-95.0	1
84	4	-94.0	1
85	0	0	0
